Genres,revenue,Year
Action,15785148,2005
Action,92076,2005
Comedy,83073883,2005
Comedy,11098131,2005
Comedy,30526509,2005
Comedy,52034889,2005
Action,5048693,2005
Comedy,11588205,2005
Action,142400065,2005
Comedy,12482775,2005
Action,11875866,2005
Comedy,2945242,2005
Comedy,50817508,2005
Comedy,72028752,2005
Action,163169,2001
Action,17297244,2005
Comedy,84967,2005
Comedy,38058335,2005
Comedy,88933562,2005
Comedy,129181830,2005
Comedy,202026112,2005
Comedy,40442437,2005
Comedy,37691644,2005
Comedy,18564702,2005
Action,9584131,2004
Action,2405420,2005
Comedy,6538177,2006
Comedy,1117920,2005
Action,10496317,2006
Comedy,138259062,2006
Comedy,11400000,2006
Comedy,11718595,2005
Comedy,113783,2006
Comedy,48548426,2006
Action,9500000,2006
Comedy,38159905,2006
Action,65664721,2006
Comedy,128406887,2006
Action,6700000,2006
Action,132511035,2006
Comedy,33889159,2006
Comedy,24793509,2005
Comedy,2260622,1994
Comedy,61112916,2006
Comedy,85582407,2006
Action,1831348,2006
Comedy,13368437,2006
Comedy,178262620,2006
Action,77920346,2006
Comedy,7314027,2006
Comedy,8895428,2005
Action,27165581,2005
Comedy,87528173,2006
Comedy,343397247,2006
Comedy,12762,2005
Comedy,1410778,2005
Comedy,80197993,2006
Comedy,237681299,2006
Comedy,326551094,2006
Comedy,130431368,2006
Comedy,26888376,2006
Action,158468292,2006
Action,21353303,2006
Comedy,100523181,2006
Comedy,101595121,2006
Action,62022014,2006
Comedy,31584901,2006
Comedy,162966177,2006
Action,574480841,2006
Comedy,53653224,2006
Action,163794509,2006
Comedy,41009669,2006
Comedy,1720953,2005
Action,42931041,2006
Action,12671300,2006
Comedy,11449638,2006
Comedy,38505009,2006
Comedy,19179969,2006
Comedy,13022756,2006
Action,7000000,2006
Action,37597471,2006
Comedy,9524340,2006
Action,7096000,2005
Action,16627188,2006
Action,41480851,2006
Action,120175290,2006
Action,17800000,2006
Action,72778712,2006
Comedy,261572744,2006
Action,55011732,2006
Comedy,17807569,2006
Comedy,38368909,2006
Comedy,41237648,2006
Action,22165608,2006
Action,658573,2005
Action,767311,2005
Action,4291965,2006
Comedy,84500122,2006
Comedy,42064105,2006
Comedy,5542025,2006
Comedy,4630045,2006
Action,180557550,2006
Comedy,47231070,2006
Comedy,580527,2006
Comedy,194168700,2006
Comedy,13405595,2006
Comedy,6086508,2006
Comedy,144000000,2006
Comedy,745327,2006
Comedy,13401952,2006
Action,68673228,2006
Action,10337477,2007
Action,25399945,2007
Comedy,7778177,2006
Comedy,22179430,2007
Comedy,16158487,2006
Action,57103895,2006
Action,86865564,2007
Comedy,69485490,2007
Comedy,95673607,2007
Action,163000,2006
Comedy,7385434,2006
Comedy,3833507,2006
Comedy,31609243,2007
Comedy,145896422,2007
Action,20342161,2007
Action,76066841,2007
Action,253625427,2007
Action,422610419,2006
Comedy,13196245,2007
Action,95696996,2007
Comedy,37598,1996
Comedy,11772461,2006
Comedy,89417,2006
Action,8642858,2007
Comedy,3091922,2006
Comedy,219076518,2007
Action,8685526,2006
Action,25037897,2007
Comedy,265198,2006
Comedy,29326868,2006
Comedy,28000000,2004
